"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
NA,NA,NA,NA,"hsf1","ygl073w","ORF","368753-371254","+","VII","ygl073w",50.0238080136139
NA,NA,NA,NA,"sed4","ycr067c","ORF","233125-236322","-","III","ycr067c",49.9068562584686
NA,NA,NA,NA,"css1","yil169c","ORF","23119-26106","-","IX","yil169c",49.8576157208689
NA,NA,NA,NA,"vph2","ykl119c","ORF","218570-219217","-","XI","ykl119c",49.8310400798795
NA,NA,NA,NA,"mlp1","ykr095w","ORF","619805-625432","+","XI","ykr095w",49.8285206083702
NA,NA,NA,NA,"mdm34","ygl219c","ORF","82878-84257","-","VII","ygl219c",49.5727315917962
NA,NA,NA,NA,"gef1","yjr040w","ORF","507746-510085","+","X","yjr040w",49.5034790354379
"mrs2",0,0,1,"mrs2","yor334w","ORF","944596-946008","+","XV","yor334w",49.3599607633228
NA,NA,NA,NA,"scd5","yor329c","ORF","936731-939349","-","XV","yor329c",49.2088603518072
NA,NA,NA,NA,"ect1","ygr007w","ORF","506969-507940","+","VII","ygr007w",49.2000128197961
"vam10",0,0,1,"vam10","yor068c","ORF","453869-454213","-","XV","yor068c",49.1947558754139
"alg12",0,1,0,"alg12","ynr030w","ORF","678799-680454","+","XIV","ynr030w",49.0499436922745
NA,NA,NA,NA,"sec2","ynl272c","ORF","126805-129084","-","XIV","ynl272c",49.0242374076157
NA,NA,NA,NA,"mlc1","ygl106w","ORF","306560-307009","+","VII","ygl106w",48.9833046765639
NA,NA,NA,NA,"ydl034w","ydl034w","ORF","391783-392127","+","IV","ydl034w",48.8858824268548
"ymr099c",0,0,1,"ymr099c","ymr099c","ORF","463934-464827","-","XIII","ymr099c",48.8550139650815
"ada2",0,0,1,"ada2","ydr448w","ORF","1356065-1357369","+","IV","ydr448w",48.8358351531683
NA,NA,NA,NA,"rad17","yor368w","ORF","1026843-1028048","+","XV","yor368w",48.7929038623641
NA,NA,NA,NA,"ycl046w","ycl046w","ORF","46640-46963","+","III","ycl046w",48.7756582628534
NA,NA,NA,NA,"por2","yil114c","ORF","149143-149988","-","IX","yil114c",48.7731823646081
"pet111",0,0,1,"pet111","ymr257c","ORF","779629-782031","-","XIII","ymr257c",48.740957892669
NA,NA,NA,NA,"vma8","yel051w","ORF","58378-59148","+","V","yel051w",48.7118857739184
NA,NA,NA,NA,"ptk1","ykl198c","ORF","68232-70220","-","XI","ykl198c",48.5979177972384
NA,NA,NA,NA,"rpb4","yjl140w","ORF","150961-151626","+","X","yjl140w",48.5895169266316
"syh1",0,0,1,"syh1","ypl105c","ORF","352863-355412","-","XVI","ypl105c",48.4408391819437
NA,NA,NA,NA,"pop1","ynl221c","ORF","231068-233695","-","XIV","ynl221c",48.4265521435428
NA,NA,NA,NA,"mrp4","yhl004w","ORF","99219-100403","+","VIII","yhl004w",48.392218558564
"fcy1",0,1,0,"fcy1","ypr062w","ORF","677165-677641","+","XVI","ypr062w",48.1811735836955
NA,NA,NA,NA,"mef1","ylr069c","ORF","271630-273915","-","XII","ylr069c",48.1734976096799
NA,NA,NA,NA,"ski2","ylr398c","ORF","915156-919019","-","XII","ylr398c",47.9872505186411
NA,NA,NA,NA,"vas1","ygr094w","ORF","672186-675500","+","VII","ygr094w",47.9091210164373
NA,NA,NA,NA,"ctf8","yhr191c","ORF","486230-486631","-","VIII","yhr191c",47.8706528320642
NA,NA,NA,NA,"ecm22","ylr228c","ORF","600019-602463","-","XII","ylr228c",47.8663898216364
"isc1",0.5,0,0.5,"isc1","yer019w","ORF","192797-194230","+","V","yer019w",47.851239101728
"ost3",0,1,0,"ost3","yor085w","ORF","482033-483085","+","XV","yor085w",47.77842943479
NA,NA,NA,NA,"rba50","ydr527w","ORF","1491094-1492413","+","IV","ydr527w",47.7780805626876
NA,NA,NA,NA,"ycr045w-a","ycr045w-a","ORF","208751-209101","+","III","ycr045w-a",47.6690561432295
NA,NA,NA,NA,"tda2","yer071c","ORF","301947-302327","-","V","yer071c",47.6606608918166
NA,NA,NA,NA,"chs2","ybr038w","ORF","311898-314789","+","II","ybr038w",47.6302624924577
NA,NA,NA,NA,"ygr259c","ygr259c","ORF","1012481-1012921","-","VII","ygr259c",47.5904514328922
NA,NA,NA,NA,"gal83","yer027c","ORF","208979-210232","-","V","yer027c",47.542975962272
NA,NA,NA,NA,"atp12","yjl180c","ORF","87583-88560","-","X","yjl180c",47.5318845836929
NA,NA,NA,NA,"ykl030w","ykl030w","ORF","382498-383103","+","XI","ykl030w",47.5223606802704
"eug1",0,0.5,0.5,"eug1","ydr518w","ORF","1478608-1480161","+","IV","ydr518w",47.41989342438
NA,NA,NA,NA,"pus4","ynl292w","ORF","82806-84017","+","XIV","ynl292w",47.3596347784336
NA,NA,NA,NA,"ylr407w","ylr407w","ORF","932967-933653","+","XII","ylr407w",47.3427218612271
NA,NA,NA,NA,"yel045c","yel045c","ORF","68840-69265","-","V","yel045c",47.3044752591608
NA,NA,NA,NA,"mcm7","ybr202w","ORF","625772-628309","+","II","ybr202w",47.2141313622314
NA,NA,NA,NA,"ypd1","ydl235c","ORF","33415-33918","-","IV","ydl235c",47.117643456137
NA,NA,NA,NA,"ygl114w","ygl114w","ORF","293460-295637","+","VII","ygl114w",47.1113061734262
NA,NA,NA,NA,"wrs1","yol097c","ORF","136527-137825","-","XV","yol097c",47.092336693999
NA,NA,NA,NA,"fus3","ybl016w","ORF","192451-193512","+","II","ybl016w",46.9196739312446
NA,NA,NA,NA,"yml009w-b","yml009w-b","ORF","250435-250911","+","XIII","yml009w-b",46.8485189231933
NA,NA,NA,NA,"ygl242c","ygl242c","ORF","44652-45197","-","VII","ygl242c",46.7687736857382
NA,NA,NA,NA,"vba4","ydr119w","ORF","688227-690533","+","IV","ydr119w",46.5299991340063
NA,NA,NA,NA,"slm4","ybr077c","ORF","391805-392293","-","II","ybr077c",46.4251577163002
NA,NA,NA,NA,"msb3","ynl293w","ORF","80640-82541","+","XIV","ynl293w",46.3336660957427
NA,NA,NA,NA,"caf120","ynl278w","ORF","113271-116453","+","XIV","ynl278w",46.2820389881314
NA,NA,NA,NA,"lys14","ydr034c","ORF","509737-512109","-","IV","ydr034c",46.196278871967
NA,NA,NA,NA,"vtc4","yjl012c","ORF","411234-413399","-","X","yjl012c",46.1748720200183
NA,NA,NA,NA,"inn1","ynl152w","ORF","346313-347542","+","XIV","ynl152w",46.1349112827788
NA,NA,NA,NA,"bro1","ypl084w","ORF","394038-396572","+","XVI","ypl084w",46.079552009276
NA,NA,NA,NA,"mdl2","ypl270w","ORF","30482-32803","+","XVI","ypl270w",46.0317755702198
"atg21",0,0,1,"atg21","ypl100w","ORF","361872-363362","+","XVI","ypl100w",46.0255637698392
NA,NA,NA,NA,"ycf1","ydr135c","ORF","723004-727551","-","IV","ydr135c",45.9854518242528
NA,NA,NA,NA,"rog3","yfr022w","ORF","196833-199034","+","VI","yfr022w",45.9733635075726
NA,NA,NA,NA,"ydl186w","ydl186w","ORF","125616-126449","+","IV","ydl186w",45.8097901128798
"fat1",0,0,1,"fat1","ybr041w","ORF","318266-320275","+","II","ybr041w",45.7551313823264
NA,NA,NA,NA,"yhr070c-a","yhr070c-a","ORF","236102-236512","-","VIII","yhr070c-a",45.6885416344412
NA,NA,NA,NA,"mrpl6","yhr147c","ORF","392639-393283","-","VIII","yhr147c",45.6726436100513
NA,NA,NA,NA,"ymr046c","ymr046c","transposable_element_gene","361305-362627","-","XIII","ymr046c",45.5578049464948
"fre6",0,1,0,"fre6","yll051c","ORF","37333-39471","-","XII","yll051c",45.5184797677898
NA,NA,NA,NA,"ygl193c","ygl193c","ORF","141916-142227","-","VII","ygl193c",45.3743765009312
NA,NA,NA,NA,"ies1","yfl013c","ORF","107852-109930","-","VI","yfl013c",45.3638509263979
NA,NA,NA,NA,"yor203w","yor203w","ORF","722565-722918","+","XV","yor203w",45.1830585427399
NA,NA,NA,NA,"alf1","ynl148c","ORF","349907-350671","-","XIV","ynl148c",45.1735233755607
NA,NA,NA,NA,"fmp25","ylr077w","ORF","283872-285623","+","XII","ylr077w",45.1585455899295
NA,NA,NA,NA,"yap3","yhl009c","ORF","84068-85060","-","VIII","yhl009c",45.1526603071528
NA,NA,NA,NA,"ygr017w","ygr017w","ORF","523787-524680","+","VII","ygr017w",45.1182172494932
NA,NA,NA,NA,"dad2","ykr083c","ORF","596421-596822","-","XI","ykr083c",45.100194059489
NA,NA,NA,NA,"vba2","ybr293w","ORF","787006-788430","+","II","ybr293w",44.9870544922202
NA,NA,NA,NA,"ygl101w","ygl101w","ORF","312193-312840","+","VII","ygl101w",44.8470400582922
NA,NA,NA,NA,"bet5","yml077w","ORF","111865-112344","+","XIII","yml077w",44.8408386083243
NA,NA,NA,NA,"rbs1","ydl189w","ORF","122216-123589","+","IV","ydl189w",44.6413131626964
NA,NA,NA,NA,"nup100","ykl068w","ORF","310199-313078","+","XI","ykl068w",44.5566887768113
NA,NA,NA,NA,"ymr007w","ymr007w","ORF","279960-280340","+","XIII","ymr007w",44.5140632098317
NA,NA,NA,NA,"nse3","ydr288w","ORF","1037195-1038106","+","IV","ydr288w",44.4428532575544
NA,NA,NA,NA,"met8","ybr213w","ORF","650368-651192","+","II","ybr213w",44.3756225531378
NA,NA,NA,NA,"pho4","yfr034c","ORF","225020-225958","-","VI","yfr034c",44.3177720205104
NA,NA,NA,NA,"pir5","yjl160c","ORF","117962-118825","-","X","yjl160c",44.2525217693483
NA,NA,NA,NA,"yhr214c-c","yhr214c-c","transposable_element_gene","547910-549346","-","VIII","yhr214c-c",44.2377097050922
"hda2",0,0,1,"hda2","ydr295c","ORF","1052623-1054647","-","IV","ydr295c",44.2232544963034
NA,NA,NA,NA,"trm82","ydr165w","ORF","784871-786205","+","IV","ydr165w",44.2054607156666
"sgf73",0,0,1,"sgf73","ygl066w","ORF","377609-379582","+","VII","ygl066w",44.1949547183166
NA,NA,NA,NA,"swt1","yor166c","ORF","647126-648502","-","XV","yor166c",44.1787856909122
NA,NA,NA,NA,"spt6","ygr116w","ORF","720409-724764","+","VII","ygr116w",44.1394619479086
"ldb19",0,0,1,"ldb19","yor322c","ORF","918606-921062","-","XV","yor322c",44.0722703688042
NA,NA,NA,NA,"mrn1","ypl184c","ORF","195950-197788","-","XVI","ypl184c",44.021657478096
NA,NA,NA,NA,"pac1","yor269w","ORF","826385-827869","+","XV","yor269w",43.922277811897
"ydr124w",0,0.5,0.5,"ydr124w","ydr124w","ORF","700315-701289","+","IV","ydr124w",43.8819998487009
NA,NA,NA,NA,"ypl077c","ypl077c","ORF","409368-410090","-","XVI","ypl077c",43.8716821570131
"lip2",0,0,1,"lip2","ylr239c","ORF","616332-617318","-","XII","ylr239c",43.8472621092374
NA,NA,NA,NA,"cyc8","ybr112c","ORF","462870-465770","-","II","ybr112c",43.7589278505097
"lys1",0,0,1,"lys1","yir034c","ORF","419615-420736","-","IX","yir034c",43.603651661914
NA,NA,NA,NA,"arc1","ygl105w","ORF","307437-308567","+","VII","ygl105w",43.5373811701984
NA,NA,NA,NA,"ylr278c","ylr278c","ORF","699999-704024","-","XII","ylr278c",43.4612417491465
"rtg3",0,1,0,"rtg3","ybl103c","ORF","22076-23536","-","II","ybl103c",43.3094552145865
NA,NA,NA,NA,"bzz1","yhr114w","ORF","338083-339984","+","VIII","yhr114w",43.2392765177703
"hse1",0,0.666666666666667,0.333333333333333,"hse1","yhl002w","ORF","102612-103970","+","VIII","yhl002w",43.2032187945979
"pkh3",0,1,0,"pkh3","ydr466w","ORF","1395121-1397817","+","IV","ydr466w",43.1173684803494
NA,NA,NA,NA,"ylr232w","ylr232w","ORF","606830-607177","+","XII","ylr232w",43.0445600765641
"pho85",0,0,1,"pho85","ypl031c","ORF","492018-493037","-","XVI","ypl031c",42.810926483431
NA,NA,NA,NA,"ynl247w","ynl247w","ORF","182875-185178","+","XIV","ynl247w",42.6604927335336
NA,NA,NA,NA,"fur1","yhr128w","ORF","362115-362765","+","VIII","yhr128w",42.5494984991659
"uga3",0,1,0,"uga3","ydl170w","ORF","156318-157904","+","IV","ydl170w",42.4122507845483
NA,NA,NA,NA,"fks1","ylr342w","ORF","809997-815627","+","XII","ylr342w",42.4086196567384
NA,NA,NA,NA,"sfb2","ynl049c","ORF","535281-537911","-","XIV","ynl049c",42.3149058814528
NA,NA,NA,NA,"pep8","yjl053w","ORF","335898-337037","+","X","yjl053w",42.2833026874167
NA,NA,NA,NA,"yjr142w","yjr142w","ORF","697141-698169","+","X","yjr142w",42.1913438260617
NA,NA,NA,NA,"ynr068c","ynr068c","ORF","760067-760885","-","XIV","ynr068c",42.1877372044744
"yta7",0,1,0,"yta7","ygr270w","ORF","1027370-1031509","+","VII","ygr270w",42.1830256550965
NA,NA,NA,NA,"tpn1","ygl186c","ORF","151037-152776","-","VII","ygl186c",42.1632433141424
NA,NA,NA,NA,"yhr131c","yhr131c","ORF","365340-367892","-","VIII","yhr131c",42.1539276053827
NA,NA,NA,NA,"kei1","ydr367w","ORF","1212848-1213614","+","IV","ydr367w",42.1537805681623
"rom2",0,1,0,"rom2","ylr371w","ORF","862714-866784","+","XII","ylr371w",42.1365307437184
"hat1",0,0,1,"hat1","ypl001w","ORF","554605-555729","+","XVI","ypl001w",42.0815556716571
NA,NA,NA,NA,"vtc3","ypl019c","ORF","514511-517018","-","XVI","ypl019c",41.9770979026712
NA,NA,NA,NA,"mbp1","ydl056w","ORF","352877-355378","+","IV","ydl056w",41.9627876601749
NA,NA,NA,NA,"nif3","ygl221c","ORF","81426-82292","-","VII","ygl221c",41.8809172181483
NA,NA,NA,NA,"abz1","ynr033w","ORF","687635-689998","+","XIV","ynr033w",41.8119718563051
NA,NA,NA,NA,"ire1","yhr079c","ORF","258244-261591","-","VIII","yhr079c",41.8003361828385
NA,NA,NA,NA,"yor192c-c","yor192c-c","ORF","703988-704224","-","XV","yor192c-c",41.7457138071197
NA,NA,NA,NA,"yer023c-a","yer023c-a","ORF","201522-201734","-","V","yer023c-a",41.7157908504163
NA,NA,NA,NA,"yal026c-a","yal026c-a","ORF","95386-95823","-","I","yal026c-a",41.6828334179974
NA,NA,NA,NA,"erj5","yfr041c","ORF","237368-238255","-","VI","yfr041c",41.6798172837068
"swd3",0,0,1,"swd3","ybr175w","ORF","582408-583355","+","II","ybr175w",41.6148550223784
NA,NA,NA,NA,"shq1","yil104c","ORF","169982-171505","-","IX","yil104c",41.5998666724937
NA,NA,NA,NA,"dia4","yhr011w","ORF","127780-129120","+","VIII","yhr011w",41.5194083600601
NA,NA,NA,NA,"ost2","yor103c","ORF","516449-516841","-","XV","yor103c",41.2196429736335
NA,NA,NA,NA,"gyl1","ymr192w","ORF","647118-649280","+","XIII","ymr192w",41.2046174522699
NA,NA,NA,NA,"pex17","ynl214w","ORF","245617-246216","+","XIV","ynl214w",41.1988019358884
NA,NA,NA,NA,"sec1","ydr164c","ORF","782041-784215","-","IV","ydr164c",41.1835246631092
NA,NA,NA,NA,"toa1","yor194c","ORF","711683-712543","-","XV","yor194c",41.1258417295569
NA,NA,NA,NA,"rpn14","ygl004c","ORF","490703-491956","-","VII","ygl004c",40.9041405003883
NA,NA,NA,NA,"tfc8","ypl007c","ORF","542082-543848","-","XVI","ypl007c",40.8504707942038
"itc1",0,1,0,"itc1","ygl133w","ORF","257707-261501","+","VII","ygl133w",40.7294820825259
NA,NA,NA,NA,"stt3","ygl022w","ORF","452404-454560","+","VII","ygl022w",40.6702592817452
NA,NA,NA,NA,"ptr2","ykr093w","ORF","615730-617535","+","XI","ykr093w",40.6197201090306
NA,NA,NA,NA,"otu1","yfl044c","ORF","44655-45560","-","VI","yfl044c",40.5220365751793
NA,NA,NA,NA,"rsc3","ydr303c","ORF","1068729-1071386","-","IV","ydr303c",40.4777281175112
NA,NA,NA,NA,"cos9","ykl219w","ORF","14485-15708","+","XI","ykl219w",40.4601784916459
NA,NA,NA,NA,"yhl050c","yhl050c","ORF","445-3311","-","VIII","yhl050c",40.4494931874997
NA,NA,NA,NA,"gwt1","yjl091c","ORF","261080-262552","-","X","yjl091c",40.441089969697
NA,NA,NA,NA,"yol134c","yol134c","ORF","70156-70545","-","XV","yol134c",40.4133605119899
NA,NA,NA,NA,"pex10","ydr265w","ORF","998864-999877","+","IV","ydr265w",40.4021868973122
NA,NA,NA,NA,"sin3","yol004w","ORF","316938-321548","+","XV","yol004w",40.3303582080999
"coq3",0,0,1,"coq3","yol096c","ORF","138107-139045","-","XV","yol096c",40.322705637643
NA,NA,NA,NA,"ynl320w","ynl320w","ORF","37700-38554","+","XIV","ynl320w",40.2769303731598
"apm1",0,0,1,"apm1","ypl259c","ORF","51244-52671","-","XVI","ypl259c",40.2694207021479
NA,NA,NA,NA,"aad3","ycr107w","ORF","313890-314981","+","III","ycr107w",40.1612010748223
NA,NA,NA,NA,"sho1","yer118c","ORF","397952-399055","-","V","yer118c",40.0877495838372
NA,NA,NA,NA,"ymr242w-a","ymr242w-a","ORF","754297-754386","+","XIII","ymr242w-a",39.9681084805212
NA,NA,NA,NA,"ses1","ydr023w","ORF","489508-490896","+","IV","ydr023w",39.827727572235
NA,NA,NA,NA,"tef2","ybr118w","ORF","477671-479047","+","II","ybr118w",39.7498703998647
NA,NA,NA,NA,"slm2","ynl047c","ORF","539911-541881","-","XIV","ynl047c",39.7246246034366
NA,NA,NA,NA,"mck1","ynl307c","ORF","56446-57573","-","XIV","ynl307c",39.6766234112833
"prk1",0,1,0,"prk1","yil095w","ORF","183937-186369","+","IX","yil095w",39.6429763443609
NA,NA,NA,NA,"psp2","yml017w","ORF","236588-238731","+","XIII","yml017w",39.5153118528035
NA,NA,NA,NA,"mrpl3","ymr024w","ORF","321875-323047","+","XIII","ymr024w",39.4985862986641
NA,NA,NA,NA,"frs2","yfl022c","ORF","93499-95010","-","VI","yfl022c",39.4674774497484
NA,NA,NA,NA,"fcp1","ymr277w","ORF","820256-822454","+","XIII","ymr277w",39.4597273640995
NA,NA,NA,NA,"vhs2","yil135c","ORF","95065-96375","-","IX","yil135c",39.4297404889422
NA,NA,NA,NA,"ygl218w","ygl218w","ORF","83650-84300","+","VII","ygl218w",39.361632833132
NA,NA,NA,NA,"ycl041c","ycl041c","ORF","50133-50627","-","III","ycl041c",39.3189465800129
NA,NA,NA,NA,"xdj1","ylr090w","ORF","320701-322080","+","XII","ylr090w",39.2669758817766
NA,NA,NA,NA,"ybl012c","ybl012c","ORF","203406-203807","-","II","ybl012c",39.2374170493329
NA,NA,NA,NA,"tfc7","yor110w","ORF","528941-530248","+","XV","yor110w",39.2313783109736
NA,NA,NA,NA,"qri1","ydl103c","ORF","275148-276581","-","IV","ydl103c",39.1662800527083
NA,NA,NA,NA,"cue3","ygl110c","ORF","301537-303411","-","VII","ygl110c",39.0425649158417
NA,NA,NA,NA,"ysh1","ylr277c","ORF","697156-699495","-","XII","ylr277c",38.9494007548909
NA,NA,NA,NA,"ymr265c","ymr265c","ORF","796540-797925","-","XIII","ymr265c",38.9184320400702
NA,NA,NA,NA,"hmg1","yml075c","ORF","115734-118898","-","XIII","yml075c",38.9119449650415
"clb1",0,0,1,"clb1","ygr108w","ORF","703636-705051","+","VII","ygr108w",38.8267984835802
NA,NA,NA,NA,"yol057w","yol057w","ORF","220767-222902","+","XV","yol057w",38.7436900445701
NA,NA,NA,NA,"bna5","ylr231c","ORF","605758-607119","-","XII","ylr231c",38.7261785557645
NA,NA,NA,NA,"cdc53","ydl132w","ORF","224304-226751","+","IV","ydl132w",38.7182699217328
NA,NA,NA,NA,"yml053c","yml053c","ORF","169116-169754","-","XIII","yml053c",38.6988556045114
NA,NA,NA,NA,"yhr056w-a","yhr056w-a","ORF","217406-217840","+","VIII","yhr056w-a",38.6324029353981
NA,NA,NA,NA,"sac7","ydr389w","ORF","1252537-1254501","+","IV","ydr389w",38.5536935719038
NA,NA,NA,NA,"dph6","ylr143w","ORF","427329-429386","+","XII","ylr143w",38.5309553092496
"gin4",0,0,1,"gin4","ydr507c","ORF","1462358-1465786","-","IV","ydr507c",38.5194674680867
NA,NA,NA,NA,"dop1","ydr141c","ORF","734901-739997","-","IV","ydr141c",38.4810780755221
NA,NA,NA,NA,"ygr025w","ygr025w","ORF","532639-532941","+","VII","ygr025w",38.4587414535492
NA,NA,NA,NA,"rfc4","yol094c","ORF","141584-142555","-","XV","yol094c",38.4544063201339
NA,NA,NA,NA,"yhr022c-a","yhr022c-a","ORF","151217-151306","-","VIII","yhr022c-a",38.3964774760421
"bni1",0,0,1,"bni1","ynl271c","ORF","129522-135383","-","XIV","ynl271c",38.3895236864878
NA,NA,NA,NA,"rps30a","ylr287c-a","ORF","712537-713158","-","XII","ylr287c-a",38.3224895854325
NA,NA,NA,NA,"msm1","ygr171c","ORF","840824-842551","-","VII","ygr171c",38.3092413431706
NA,NA,NA,NA,"nup188","yml103c","ORF","62582-67549","-","XIII","yml103c",38.2631716737305
NA,NA,NA,NA,"mft1","yml062c","ORF","147505-148683","-","XIII","yml062c",38.0062099587981
NA,NA,NA,NA,"yil068w-a","yil068w-a","ORF","233013-233396","+","IX","yil068w-a",37.9800687840938
"lcb3",0,1,0,"lcb3","yjl134w","ORF","158188-159417","+","X","yjl134w",37.9379951629226
NA,NA,NA,NA,"ypr177c","ypr177c","ORF","892313-892684","-","XVI","ypr177c",37.926802960228
NA,NA,NA,NA,"yml101c-a","yml101c-a","ORF","69409-69726","-","XIII","yml101c-a",37.9213943022942
NA,NA,NA,NA,"cct8","yjl008c","ORF","419957-421663","-","X","yjl008c",37.881859314592
NA,NA,NA,NA,"tcd2","ykl027w","ORF","387562-388905","+","XI","ykl027w",37.7873884922256
NA,NA,NA,NA,"cdd1","ylr245c","ORF","626502-626930","-","XII","ylr245c",37.7479359896041
NA,NA,NA,NA,"yfl021c-a","yfl021c-a","ORF","95761-96615","-","VI","yfl021c-a",37.7178661192799
NA,NA,NA,NA,"aro10","ydr380w","ORF","1234218-1236125","+","IV","ydr380w",37.6640738791518
"yhc3",0,0,1,"yhc3","yjl059w","ORF","324964-326190","+","X","yjl059w",37.5285697872328
NA,NA,NA,NA,"mam33","yil070c","ORF","230272-231072","-","IX","yil070c",37.4982819011036
NA,NA,NA,NA,"tca17","yel048c","ORF","64709-65167","-","V","yel048c",37.4105828210073
NA,NA,NA,NA,"ydl187c","ydl187c","ORF","125509-125838","-","IV","ydl187c",37.388992726871
NA,NA,NA,NA,"syg1","yil047c","ORF","265115-267823","-","IX","yil047c",37.2453162656776
NA,NA,NA,NA,"spf1","yel031w","ORF","90258-93905","+","V","yel031w",37.2421223225003
NA,NA,NA,NA,"rga1","yor127w","ORF","561170-564193","+","XV","yor127w",37.2208909849302
NA,NA,NA,NA,"hif1","yll022c","ORF","99044-100201","-","XII","yll022c",37.1385637502048
NA,NA,NA,NA,"sld7","yor060c","ORF","440390-441163","-","XV","yor060c",37.0779037707098
NA,NA,NA,NA,"rgl1","ypl066w","ORF","426233-427672","+","XVI","ypl066w",37.034177300657
NA,NA,NA,NA,"arp8","yor141c","ORF","589942-592587","-","XV","yor141c",36.9382596240226
NA,NA,NA,NA,"erg20","yjl167w","ORF","105014-106072","+","X","yjl167w",36.9161642735651
NA,NA,NA,NA,"ahk1","ydl073w","ORF","326613-329567","+","IV","ydl073w",36.8774344170756
NA,NA,NA,NA,"clb3","ydl155w","ORF","176773-178056","+","IV","ydl155w",36.8529269140697
NA,NA,NA,NA,"pmt6","ygr199w","ORF","897502-899781","+","VII","ygr199w",36.8484803883428
NA,NA,NA,NA,"gcr1","ypl075w","ORF","412254-415362","+","XVI","ypl075w",36.6782744164263
NA,NA,NA,NA,"vma22","yhr060w","ORF","220725-221270","+","VIII","yhr060w",36.6292969542971
NA,NA,NA,NA,"rgm1","ymr182c","ORF","624532-625167","-","XIII","ymr182c",36.6072836476007
NA,NA,NA,NA,"iml2","yjl082w","ORF","281185-283380","+","X","yjl082w",36.5958426493471
NA,NA,NA,NA,"yjr084w","yjr084w","ORF","583733-585004","+","X","yjr084w",36.5589810241075
NA,NA,NA,NA,"ste14","ydr410c","ORF","1292372-1293091","-","IV","ydr410c",36.5566255845532
NA,NA,NA,NA,"mse1","yol033w","ORF","263475-265085","+","XV","yol033w",36.5550501446991
NA,NA,NA,NA,"rkm4","ydr257c","ORF","969990-971474","-","IV","ydr257c",36.5335990198354
NA,NA,NA,NA,"ylr446w","ylr446w","ORF","1025214-1026515","+","XII","ylr446w",36.5196430267206
NA,NA,NA,NA,"sec39","ylr440c","ORF","1015568-1017697","-","XII","ylr440c",36.4848311701419
NA,NA,NA,NA,"far1","yjl157c","ORF","123836-126328","-","X","yjl157c",36.3673253846139
NA,NA,NA,NA,"ybr197c","ybr197c","ORF","615203-615856","-","II","ybr197c",36.2515938599878
NA,NA,NA,NA,"yhr007c-a","yhr007c-a","ORF","122550-122765","-","VIII","yhr007c-a",36.2455821993148
NA,NA,NA,NA,"ymr209c","ymr209c","ORF","685911-687284","-","XIII","ymr209c",36.2389174183659
NA,NA,NA,NA,"emc3","ykl207w","ORF","48194-48955","+","XI","ykl207w",36.2361592105737
NA,NA,NA,NA,"cin2","ypl241c","ORF","95372-96258","-","XVI","ypl241c",36.2275362808466
NA,NA,NA,NA,"vhr2","yer064c","ORF","282705-284222","-","V","yer064c",36.2237236070757
NA,NA,NA,NA,"ykl096c-b","ykl096c-b","ORF","259073-259222","-","XI","ykl096c-b",36.1756348392287
