"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
NA,NA,NA,NA,"tos4","ylr183c","ORF","520543-522012","-","XII","ylr183c",-27.1664859554653,23.4487552955713
"add66",0,0,1,"add66","ykl206c","ORF","49006-49809","-","XI","ykl206c",-27.1202852567271,35.5118999169567
"vam10",0,0,1,"vam10","yor068c","ORF","453869-454213","-","XV","yor068c",-27.0973783055291,22.0973775698848
NA,NA,NA,NA,"ndj1","yol104c","ORF","116396-117454","-","XV","yol104c",-26.9949162733904,28.2213466982011
NA,NA,NA,NA,"msy1","ypl097w","ORF","364952-366430","+","XVI","ypl097w",-26.9539954226789,40.109191128927
NA,NA,NA,NA,"rot2","ybr229c","ORF","676357-679221","-","II","ybr229c",-26.939271861009,30.1313164585375
NA,NA,NA,NA,"rsm25","yil093c","ORF","187990-188784","-","IX","yil093c",-26.7379235455683,46.3658165391315
NA,NA,NA,NA,"mex67","ypl169c","ORF","229039-230838","-","XVI","ypl169c",-26.6996957360287,24.168006818208
NA,NA,NA,NA,"sfh5","yjl145w","ORF","145160-146044","+","X","yjl145w",-26.69176921961,4.57062088100553
NA,NA,NA,NA,"ygl052w","ygl052w","ORF","403437-403742","+","VII","ygl052w",-26.6499137017112,31.379904800121
"kss1",0,0,1,"kss1","ygr040w","ORF","575398-576504","+","VII","ygr040w",-26.647308327585,24.239731677334
NA,NA,NA,NA,"rgp1","ydr137w","ORF","728259-730250","+","IV","ydr137w",-26.6280269632829,29.1424633798355
NA,NA,NA,NA,"npl6","ymr091c","ORF","450058-451365","-","XIII","ymr091c",-26.5940870874781,23.9204964576358
"bas1",0,1,0,"bas1","ykr099w","ORF","635851-638286","+","XI","ykr099w",-26.5619757749711,4.6582536410914
NA,NA,NA,NA,"pta1","yal043c","ORF","58695-61052","-","I","yal043c",-26.5222956505125,28.9073605738632
NA,NA,NA,NA,"spf1","yel031w","ORF","90258-93905","+","V","yel031w",-26.4388493048618,10.8032730176385
NA,NA,NA,NA,"nup60","yar002w","ORF","152257-153876","+","I","yar002w",-26.4188054640608,6.29811784808997
NA,NA,NA,NA,"uip5","ykr044w","ORF","522015-523346","+","XI","ykr044w",-26.4121097480014,23.649497989522
NA,NA,NA,NA,"shq1","yil104c","ORF","169982-171505","-","IX","yil104c",-26.4092901858137,15.19057648668
"mpd1",0,1,0,"mpd1","yor288c","ORF","852121-853077","-","XV","yor288c",-26.3574876172418,34.859818092932
NA,NA,NA,NA,"ycr023c","ycr023c","ORF","158538-160373","-","III","ycr023c",-26.3437716375413,39.6495475371868
NA,NA,NA,NA,"rer2","ybr002c","ORF","241708-242568","-","II","ybr002c",-26.3418196934501,6.27094493747702
NA,NA,NA,NA,"cct3","yjl014w","ORF","407558-409162","+","X","yjl014w",-26.3116673477142,-26.1778200586461
NA,NA,NA,NA,"vba4","ydr119w","ORF","688227-690533","+","IV","ydr119w",-26.2969426187279,20.2330565152783
"ymr010w",0,1,0,"ymr010w","ymr010w","ORF","285100-286317","+","XIII","ymr010w",-26.1815416775271,31.779451403034
NA,NA,NA,NA,"rad33","yml011c","ORF","246895-247428","-","XIII","yml011c",-26.1797497855917,26.3747019973834
NA,NA,NA,NA,"irc11","yor013w","ORF","356751-357221","+","XV","yor013w",-26.1767737794022,32.0675042045701
NA,NA,NA,NA,"psy2","ynl201c","ORF","260627-263203","-","XIV","ynl201c",-26.1145055553158,7.15239532883796
NA,NA,NA,NA,"dse4","ynr067c","ORF","755746-759099","-","XIV","ynr067c",-26.0811102521956,29.0244546046074
NA,NA,NA,NA,"ies1","yfl013c","ORF","107852-109930","-","VI","yfl013c",-26.0688379066915,19.2950130197064
NA,NA,NA,NA,"htz1","yol012c","ORF","303579-303983","-","XV","yol012c",-26.0648796858478,78.0417386219728
NA,NA,NA,NA,"yop1","ypr028w","ORF","623527-624202","+","XVI","ypr028w",-26.0267399127611,312.528720727359
NA,NA,NA,NA,"yll017w","yll017w","pseudogene","112234-112545","+","XII","yll017w",-26.0158482647729,36.0903201186971
NA,NA,NA,NA,"sge1","ypr198w","ORF","934034-935665","+","XVI","ypr198w",-25.9908406747689,38.0881466751569
"cps1",0,0,1,"cps1","yjl172w","ORF","97737-99467","+","X","yjl172w",-25.94103841872,70.7395626613327
NA,NA,NA,NA,"ygr146c-a","ygr146c-a","ORF","785276-785437","-","VII","ygr146c-a",-25.8855156432127,25.9455218665428
NA,NA,NA,NA,"mga1","ygr249w","ORF","988049-989419","+","VII","ygr249w",-25.8840417526016,58.1306428053887
"ufd2",0,0,1,"ufd2","ydl190c","ORF","118707-121592","-","IV","ydl190c",-25.8627938426499,42.1744333794536
"ark1",0,0.5,0.5,"ark1","ynl020c","ORF","595623-597539","-","XIV","ynl020c",-25.8453544678795,42.6134868344644
NA,NA,NA,NA,"inn1","ynl152w","ORF","346313-347542","+","XIV","ynl152w",-25.8297536717249,20.3051576110539
NA,NA,NA,NA,"ykl096c-b","ykl096c-b","ORF","259073-259222","-","XI","ykl096c-b",-25.7478830258874,10.4277518133413
NA,NA,NA,NA,"pol5","yel055c","ORF","48471-51539","-","V","yel055c",-25.6964311835534,8.22161014991096
"eug1",0,0.5,0.5,"eug1","ydr518w","ORF","1478608-1480161","+","IV","ydr518w",-25.6216696543349,21.7982237700451
NA,NA,NA,NA,"yel053w-a","yel053w-a","ORF","52908-53255","+","V","yel053w-a",-25.5959023514187,-336.239383687937
NA,NA,NA,NA,"mcm7","ybr202w","ORF","625772-628309","+","II","ybr202w",-25.5845311714675,21.6296001907638
NA,NA,NA,NA,"vps53","yjl029c","ORF","388385-390853","-","X","yjl029c",-25.5570876538926,35.305849109501
NA,NA,NA,NA,"vps29","yhr012w","ORF","129481-130448","+","VIII","yhr012w",-25.5226118273318,30.7114876685468
NA,NA,NA,NA,"yol057w","yol057w","ORF","220767-222902","+","XV","yol057w",-25.4647526700866,13.2789373744836
NA,NA,NA,NA,"vph2","ykl119c","ORF","218570-219217","-","XI","ykl119c",-25.4537685057226,24.3772715741569
NA,NA,NA,NA,"yir042c","yir042c","ORF","435273-435983","-","IX","yir042c",-25.4511126950046,30.2093535599445
NA,NA,NA,NA,"nhp10","ydl002c","ORF","446967-447578","-","IV","ydl002c",-25.4282412263153,40.0735688062976
NA,NA,NA,NA,"fus3","ybl016w","ORF","192451-193512","+","II","ybl016w",-25.422178351141,21.4974955801036
NA,NA,NA,NA,"rpl27a","yhr010w","ORF","126521-127492","+","VIII","yhr010w",-25.4035929562336,-652.326687569196
NA,NA,NA,NA,"ypr053c","ypr053c","ORF","665788-666243","-","XVI","ypr053c",-25.3988266643209,26.6224567036608
NA,NA,NA,NA,"ssb2","ynl209w","ORF","252059-253900","+","XIV","ynl209w",-25.3902203190176,-338.804985483148
NA,NA,NA,NA,"chs2","ybr038w","ORF","311898-314789","+","II","ybr038w",-25.2756727453808,22.3545897470769
NA,NA,NA,NA,"rpn1","yhr027c","ORF","161730-164711","-","VIII","yhr027c",-25.2565576661644,82.4498992073882
NA,NA,NA,NA,"hpm1","yil110w","ORF","156045-157178","+","IX","yil110w",-25.246701534877,9.88156060803886
NA,NA,NA,NA,"ymr242w-a","ymr242w-a","ORF","754297-754386","+","XIII","ymr242w-a",-25.1719809291791,14.796127551342
NA,NA,NA,NA,"pho3","ybr092c","ORF","427698-429101","-","II","ybr092c",-25.1605643989275,27.0588610650347
NA,NA,NA,NA,"kha1","yjl094c","ORF","251821-254442","-","X","yjl094c",-25.0512761658904,44.0867491829715
NA,NA,NA,NA,"fcp1","ymr277w","ORF","820256-822454","+","XIII","ymr277w",-25.0508073011914,14.4089200629081
NA,NA,NA,NA,"pmt4","yjr143c","ORF","698326-700614","-","X","yjr143c",-25.0243727320271,2.24065763817347
"ldb19",0,0,1,"ldb19","yor322c","ORF","918606-921062","-","XV","yor322c",-24.9872190133448,19.0850513554595
NA,NA,NA,NA,"ymr046c","ymr046c","transposable_element_gene","361305-362627","-","XIII","ymr046c",-24.9533998717228,20.604405074772
NA,NA,NA,NA,"sho1","yer118c","ORF","397952-399055","-","V","yer118c",-24.928888800911,15.1588607829262
NA,NA,NA,NA,"ycl046w","ycl046w","ORF","46640-46963","+","III","ycl046w",-24.7565053998626,24.0191528629908
NA,NA,NA,NA,"orm1","ygr038w","ORF","560682-561350","+","VII","ygr038w",-24.7264390217632,50.5639664747428
NA,NA,NA,NA,"isn1","yor155c","ORF","626628-627980","-","XV","yor155c",-24.6789333136394,39.5149868643346
NA,NA,NA,NA,"crm1","ygr218w","ORF","932541-935795","+","VII","ygr218w",-24.6400961674807,27.3510829673214
NA,NA,NA,NA,"ybl055c","ybl055c","ORF","115573-116829","-","II","ybl055c",-24.6139013574606,8.77001774691594
NA,NA,NA,NA,"rtr2","ydr066c","ORF","581908-582498","-","IV","ydr066c",-24.5930379035547,36.0086388963614
NA,NA,NA,NA,"ycf1","ydr135c","ORF","723004-727551","-","IV","ydr135c",-24.5924291213025,21.3930227029502
NA,NA,NA,NA,"sfb3","yhr098c","ORF","299145-301934","-","VIII","yhr098c",-24.5808045252492,29.5610341726943
NA,NA,NA,NA,"yck3","yer123w","ORF","404813-406387","+","V","yer123w",-24.4869557402814,34.2796943234379
NA,NA,NA,NA,"spt23","ykl020c","ORF","398832-402080","-","XI","ykl020c",-24.4792535330367,42.2040170693502
NA,NA,NA,NA,"ygr011w","ygr011w","ORF","512497-512823","+","VII","ygr011w",-24.4564122219376,50.7403121786569
"rpl7a",0,1,0,"rpl7a","ygl076c","ORF","364335-365996","-","VII","ygl076c",-24.4526409171455,-307.34856845923
NA,NA,NA,NA,"ygr066c","ygr066c","ORF","620921-621799","-","VII","ygr066c",-24.3881985322882,5.74753786279261
NA,NA,NA,NA,"pcl10","ygl134w","ORF","255663-256964","+","VII","ygl134w",-24.3857609282517,27.8307335826666
"las21",0,0,1,"las21","yjl062w","ORF","317284-319776","+","X","yjl062w",-24.3756000224332,27.5677349326193
NA,NA,NA,NA,"fmp25","ylr077w","ORF","283872-285623","+","XII","ylr077w",-24.3749944627436,20.7835511271859
NA,NA,NA,NA,"dad2","ykr083c","ORF","596421-596822","-","XI","ykr083c",-24.3032122422731,20.7969818172159
NA,NA,NA,NA,"ydr464c-a","ydr464c-a","ORF","1392492-1392680","-","IV","ydr464c-a",-24.2941550285486,26.3630564445779
NA,NA,NA,NA,"stp2","yhr006w","ORF","117814-119439","+","VIII","yhr006w",-24.2847319382716,71.4625470104385
NA,NA,NA,NA,"cym1","ydr430c","ORF","1325501-1328470","-","IV","ydr430c",-24.2160954383585,41.7528951121913
NA,NA,NA,NA,"rga2","ydr379w","ORF","1230167-1233196","+","IV","ydr379w",-24.1864240058119,40.7251912194282
NA,NA,NA,NA,"sil1","yol031c","ORF","266264-267529","-","XV","yol031c",-24.1827087963266,7.35523523862512
NA,NA,NA,NA,"ndd1","yor372c","ORF","1034807-1036471","-","XV","yor372c",-24.1356895319849,39.3927126236982
NA,NA,NA,NA,"gef1","yjr040w","ORF","507746-510085","+","X","yjr040w",-24.1316975836312,25.3717814518067
NA,NA,NA,NA,"ypr114w","ypr114w","ORF","753301-754248","+","XVI","ypr114w",-24.0901094121527,56.9026801370136
"yme1",0,0,1,"yme1","ypr024w","ORF","610481-612724","+","XVI","ypr024w",-24.0862369107975,73.1773421606572
NA,NA,NA,NA,"ydl186w","ydl186w","ORF","125616-126449","+","IV","ydl186w",-24.0375638625631,21.7722262503166
NA,NA,NA,NA,"xdj1","ylr090w","ORF","320701-322080","+","XII","ylr090w",-24.0274983646375,15.2394775171392
NA,NA,NA,NA,"not5","ypr072w","ORF","690107-691789","+","XVI","ypr072w",-24.0268719168506,29.3279296126762
NA,NA,NA,NA,"ski2","ylr398c","ORF","915156-919019","-","XII","ylr398c",-23.9944140179326,23.9928365007084
NA,NA,NA,NA,"msk1","ynl073w","ORF","488386-490116","+","XIV","ynl073w",-23.9926954758408,47.9337241961659
NA,NA,NA,NA,"ydr186c","ydr186c","ORF","832859-835492","-","IV","ydr186c",-23.9886204686592,48.5744409782653
NA,NA,NA,NA,"sec6","yil068c","ORF","233057-235474","-","IX","yil068c",-23.969240474592,27.4347245325129
NA,NA,NA,NA,"tcd2","ykl027w","ORF","387562-388905","+","XI","ykl027w",-23.9510502469119,13.8363382453138
NA,NA,NA,NA,"lys14","ydr034c","ORF","509737-512109","-","IV","ydr034c",-23.9480896537869,22.2481892181801
"rpl19a",0,1,0,"rpl19a","ybr084c-a","ORF","414186-415261","-","II","ybr084c-a",-23.9083859624343,-319.828044316055
NA,NA,NA,NA,"spl2","yhr136c","ORF","374654-375100","-","VIII","yhr136c",-23.9005162150615,44.2701036970569
NA,NA,NA,NA,"yhr073w-a","yhr073w-a","ORF","242868-243044","+","VIII","yhr073w-a",-23.8919905772413,10.672634444101
NA,NA,NA,NA,"paf1","ybr279w","ORF","761257-762594","+","II","ybr279w",-23.8863807813812,28.1895465686448
NA,NA,NA,NA,"cct2","yil142w","ORF","83302-84885","+","IX","yil142w",-23.8824620586969,-24.4184997681836
NA,NA,NA,NA,"stp22","ycl008c","ORF","105696-106853","-","III","ycl008c",-23.856880738663,30.200262334104
NA,NA,NA,NA,"tca17","yel048c","ORF","64709-65167","-","V","yel048c",-23.8297523850029,13.5808304360043
NA,NA,NA,NA,"yhr214c-c","yhr214c-c","transposable_element_gene","547910-549346","-","VIII","yhr214c-c",-23.8101242035047,20.4275855015875
NA,NA,NA,NA,"mot3","ymr070w","ORF","409154-410626","+","XIII","ymr070w",-23.7720629181578,34.9164766854055
NA,NA,NA,NA,"nup188","yml103c","ORF","62582-67549","-","XIII","yml103c",-23.7412896308461,14.5218820428844
NA,NA,NA,NA,"ygl074c","ygl074c","ORF","368596-368922","-","VII","ygl074c",-23.6762174598309,48.9371078172088
NA,NA,NA,NA,"npr1","ynl183c","ORF","293137-295509","-","XIV","ynl183c",-23.6717847377126,32.7921904857639
NA,NA,NA,NA,"opi9","ylr338w","ORF","804346-805203","+","XII","ylr338w",-23.6574993280603,35.5348188713874
NA,NA,NA,NA,"ydr526c","ydr526c","ORF","1491075-1491545","-","IV","ydr526c",-23.5684595870819,-14.8434605171206
"gin4",0,0,1,"gin4","ydr507c","ORF","1462358-1465786","-","IV","ydr507c",-23.5167130168298,15.0027544512569
"atg18",0,0,1,"atg18","yfr021w","ORF","194812-196314","+","VI","yfr021w",-23.4502301554058,40.2783891474346
NA,NA,NA,NA,"yra1","ydr381w","ORF","1236558-1238004","+","IV","ydr381w",-23.3631753963418,369.610778240097
NA,NA,NA,NA,"ptr2","ykr093w","ORF","615730-617535","+","XI","ykr093w",-23.3426661278507,17.2770539811799
NA,NA,NA,NA,"apl6","ygr261c","ORF","1014321-1016750","-","VII","ygr261c",-23.3095890508974,27.3690369514295
NA,NA,NA,NA,"ylr400w","ylr400w","ORF","922063-922536","+","XII","ylr400w",-23.2765973897448,-1.20294365736063
NA,NA,NA,NA,"dam1","ygr113w","ORF","718893-719924","+","VII","ygr113w",-23.272298014392,38.175978419365
NA,NA,NA,NA,"ygl024w","ygl024w","ORF","449788-450123","+","VII","ygl024w",-23.2544959739998,51.742554665369
NA,NA,NA,NA,"ybr232c","ybr232c","ORF","683373-683732","-","II","ybr232c",-23.2413249691534,30.5497657660389
NA,NA,NA,NA,"ura3","yel021w","ORF","116167-116970","+","V","yel021w",-23.2222421108685,51.3700766402153
NA,NA,NA,NA,"ypr012w","ypr012w","ORF","584309-584563","+","XVI","ypr012w",-23.0926112760188,27.5635483587253
NA,NA,NA,NA,"ent1","ydl161w","ORF","167714-169078","+","IV","ydl161w",-23.0344821197095,45.2300992996852
NA,NA,NA,NA,"puf4","ygl014w","ORF","466141-468807","+","VII","ygl014w",-23.0093601771928,6.66493022166277
"swd3",0,0,1,"swd3","ybr175w","ORF","582408-583355","+","II","ybr175w",-22.9400147004634,18.674840321915
NA,NA,NA,NA,"cdc27","ybl084c","ORF","67169-69445","-","II","ybl084c",-22.9370634975761,40.981807806354
NA,NA,NA,NA,"mam33","yil070c","ORF","230272-231072","-","IX","yil070c",-22.9163734522961,14.5819084488075
NA,NA,NA,NA,"apm2","yhl019c","ORF","67731-69548","-","VIII","yhl019c",-22.9100801927072,47.6631922289411
NA,NA,NA,NA,"sec2","ynl272c","ORF","126805-129084","-","XIV","ynl272c",-22.8924745071824,26.1317629004333
NA,NA,NA,NA,"ych1","ygr203w","ORF","905237-905683","+","VII","ygr203w",-22.8382477734147,37.2437268480077
NA,NA,NA,NA,"gds1","yor355w","ORF","1005137-1006705","+","XV","yor355w",-22.7352554072022,35.3201622739752
NA,NA,NA,NA,"yor192c-c","yor192c-c","ORF","703988-704224","-","XV","yor192c-c",-22.7227943959843,19.0229194111353
"mrs2",0,0,1,"mrs2","yor334w","ORF","944596-946008","+","XV","yor334w",-22.6810509720373,26.6789097912856
NA,NA,NA,NA,"swt1","yor166c","ORF","647126-648502","-","XV","yor166c",-22.6798338375964,21.4989518533159
NA,NA,NA,NA,"mlp1","ykr095w","ORF","619805-625432","+","XI","ykr095w",-22.6595234200182,27.168997188352
NA,NA,NA,NA,"aep3","ypl005w","ORF","548486-550306","+","XVI","ypl005w",-22.5810918191852,38.2878988718373
NA,NA,NA,NA,"ygl114w","ygl114w","ORF","293460-295637","+","VII","ygl114w",-22.5567747240055,24.5545314494207
NA,NA,NA,NA,"yil142c-a","yil142c-a","ORF","83208-83540","-","IX","yil142c-a",-22.4589098519204,-1.22586997570242
NA,NA,NA,NA,"tmt1","yer175c","ORF","539464-540363","-","V","yer175c",-22.431039545235,37.2876464557026
"ptc5",0,0,1,"ptc5","yor090c","ORF","491123-492841","-","XV","yor090c",-22.4104345517477,38.0835553932879
NA,NA,NA,NA,"sld7","yor060c","ORF","440390-441163","-","XV","yor060c",-22.3515023256384,14.7264014450714
NA,NA,NA,NA,"yor203w","yor203w","ORF","722565-722918","+","XV","yor203w",-22.2795390902356,22.9035194525043
NA,NA,NA,NA,"ynr065c","ynr065c","ORF","750350-753700","-","XIV","ynr065c",-22.2674650487203,28.3149993018504
"wsc4",0,0,1,"wsc4","yhl028w","ORF","48763-50580","+","VIII","yhl028w",-22.2426573348913,29.9855063100421
"alg12",0,1,0,"alg12","ynr030w","ORF","678799-680454","+","XIV","ynr030w",-22.2252175693899,26.8247261228846
NA,NA,NA,NA,"fur4","ybr021w","ORF","281443-283344","+","II","ybr021w",-22.18126134572,7.88826456888139
NA,NA,NA,NA,"sec18","ybr080c","ORF","398614-400890","-","II","ybr080c",-22.1657968375224,30.7440597862317
NA,NA,NA,NA,"caf120","ynl278w","ORF","113271-116453","+","XIV","ynl278w",-22.1486278143343,24.1334111737971
NA,NA,NA,NA,"cpd1","ygr247w","ORF","984966-985685","+","VII","ygr247w",-22.1420027937749,36.5260822778339
NA,NA,NA,NA,"vma22","yhr060w","ORF","220725-221270","+","VIII","yhr060w",-22.0326558075419,14.5966411467552
NA,NA,NA,NA,"nop8","yol144w","ORF","53098-54552","+","XV","yol144w",-21.9898399648312,5.35127228985846
NA,NA,NA,NA,"vma8","yel051w","ORF","58378-59148","+","V","yel051w",-21.9861027854613,26.7257829884571
NA,NA,NA,NA,"faf1","yil019w","ORF","315093-316133","+","IX","yil019w",-21.9549143087542,0.528832617883099
NA,NA,NA,NA,"yft2","ydr319c","ORF","1105003-1105827","-","IV","ydr319c",-21.9064706406447,40.395231181494
NA,NA,NA,NA,"mft1","yml062c","ORF","147505-148683","-","XIII","yml062c",-21.9007223299073,16.1054876288907
NA,NA,NA,NA,"gfa1","ykl104c","ORF","243220-245373","-","XI","ykl104c",-21.8224047385049,50.9736327122868
NA,NA,NA,NA,"pob3","yml069w","ORF","135500-137158","+","XIII","yml069w",-21.7803401246348,32.0070018278704
NA,NA,NA,NA,"plp2","yor281c","ORF","846269-847129","-","XV","yor281c",-21.716811232838,-37.03235029838
NA,NA,NA,NA,"kap104","ybr017c","ORF","270947-273703","-","II","ybr017c",-21.6928963948047,10.0882773429918
NA,NA,NA,NA,"pho12","yhr215w","ORF","552099-553502","+","VIII","yhr215w",-21.6815662265812,31.7393290949384
"nst1",0,0.5,0.5,"nst1","ynl091w","ORF","452408-456130","+","XIV","ynl091w",-21.6777829399239,35.2006848249753
NA,NA,NA,NA,"srp72","ypl210c","ORF","154290-156212","-","XVI","ypl210c",-21.6685549894636,6.48724995272215
NA,NA,NA,NA,"dfg10","yil049w","ORF","260158-260919","+","IX","yil049w",-21.6122247802479,11.5354659440391
NA,NA,NA,NA,"yer087c-a","yer087c-a","ORF","331817-332368","-","V","yer087c-a",-21.5939251727564,35.4247458842077
"gln3",0,0.666666666666667,0.333333333333333,"gln3","yer040w","ORF","229795-231987","+","V","yer040w",-21.578916169955,30.2901637553158
"clb1",0,0,1,"clb1","ygr108w","ORF","703636-705051","+","VII","ygr108w",-21.5782747946679,17.2485236889123
NA,NA,NA,NA,"pdr1","ygl013c","ORF","469092-472298","-","VII","ygl013c",-21.5692728652046,29.1350261847078
NA,NA,NA,NA,"swm2","ynr004w","ORF","635943-636383","+","XIV","ynr004w",-21.5671670843383,-4.36683150869863
NA,NA,NA,NA,"pac1","yor269w","ORF","826385-827869","+","XV","yor269w",-21.547989830903,22.374287980994
NA,NA,NA,NA,"yal026c-a","yal026c-a","ORF","95386-95823","-","I","yal026c-a",-21.5245672780752,20.1582661399222
NA,NA,NA,NA,"ydr413c","ydr413c","ORF","1294836-1295411","-","IV","ydr413c",-21.4192370707712,-85.1723212745838
NA,NA,NA,NA,"vps35","yjl154c","ORF","131101-133935","-","X","yjl154c",-21.3674291910094,8.68497093164989
NA,NA,NA,NA,"tpn1","ygl186c","ORF","151037-152776","-","VII","ygl186c",-21.3543523431502,20.8088909709921
NA,NA,NA,NA,"ysh1","ylr277c","ORF","697156-699495","-","XII","ylr277c",-21.3341185037676,17.6152822511232
NA,NA,NA,NA,"cse1","ygl238w","ORF","49552-52434","+","VII","ygl238w",-21.2850625585905,9.70696309696959
NA,NA,NA,NA,"spt6","ygr116w","ORF","720409-724764","+","VII","ygr116w",-21.2248863566286,22.91457559128
NA,NA,NA,NA,"css1","yil169c","ORF","23119-26106","-","IX","yil169c",-21.1879536174406,28.6696621034282
"hat1",0,0,1,"hat1","ypl001w","ORF","554605-555729","+","XVI","ypl001w",-21.1659348470917,20.9156208245654
NA,NA,NA,NA,"dia4","yhr011w","ORF","127780-129120","+","VIII","yhr011w",-21.1077950594435,20.4116133006166
"hda2",0,0,1,"hda2","ydr295c","ORF","1052623-1054647","-","IV","ydr295c",-21.0538271478496,23.1694273484538
NA,NA,NA,NA,"mod5","yor274w","ORF","837674-838960","+","XV","yor274w",-21.0529855187636,13.3260619358489
NA,NA,NA,NA,"sap190","ykr028w","ORF","494257-497358","+","XI","ykr028w",-20.9698533384316,10.984873004431
"das2",0,1,0,"das2","ydr020c","ORF","485746-486444","-","IV","ydr020c",-20.9467597299218,9.45233607159579
NA,NA,NA,NA,"ygl063c-a","ygl063c-a","ORF","384502-384651","-","VII","ygl063c-a",-20.9324193014511,1.16816166356163
NA,NA,NA,NA,"yah1","ypl252c","ORF","73363-73881","-","XVI","ypl252c",-20.9214654467996,-31.2620370397767
NA,NA,NA,NA,"tfa2","ykr062w","ORF","559666-560652","+","XI","ykr062w",-20.9023854015918,38.7837522152609
"sxm1",0,0,1,"sxm1","ydr395w","ORF","1263324-1266158","+","IV","ydr395w",-20.861960134536,7.305903341026
NA,NA,NA,NA,"ost2","yor103c","ORF","516449-516841","-","XV","yor103c",-20.8599306321946,20.3597123414389
NA,NA,NA,NA,"alf1","ynl148c","ORF","349907-350671","-","XIV","ynl148c",-20.8299410647714,24.3435823107893
NA,NA,NA,NA,"rim2","ybr192w","ORF","607652-608785","+","II","ybr192w",-20.8182596065719,6.78455698689771
NA,NA,NA,NA,"reh1","ylr387c","ORF","896374-897672","-","XII","ylr387c",-20.8173893577759,1.13495256255925
